PartnerRefCD,NoOfPoints,CompanyMileagePlanNumber,TransactionDate,LastName
WBCEJF0272119739643,161,816421955,2025-10-08,SOH DOE Waiakea High School
UVMRIS0272120551599,178,506630364,2025-10-16,SOH DOT Airports
MVTXVY0272120895394,194,811362241,2022-03-16,Modivcare
UOGXIN0272120564553,122,537811875,2025-10-16,SOH DOE Kauai Complex Area 
JMQVIA0272119134172,115,499039704,2022-12-20,SOH DOE Waimea High School
LUVTVD0272119135667,124,499039704,2023-03-16,SOH DOE Waimea High School
KZUJWG0272120555179,272,619749793,2025-10-16,Zelinsky Company
INFNGY0272120562299,180,756868954,2025-10-15,Pacific Security Integrations
OJRZJA0272120632126,222,908625896,2023-08-13,AC Marketing
UIZAME0272120317614,171,685461932,2025-10-14,HPM Building Supply Admin
SOHBNH0272120840371,138,832668524,2025-10-13,West Hawaii Concrete
ODFHBU0272120641472,240,469236165,2025-10-17,Bottomley Builders
HTXJZX0272120313319,120,685461932,2022-12-13,HPM Building Supply Admin
URDCRQ0272120554006,245,427959556,2025-10-16,GP Roadway Solutions Inc
JMQVIA0272119134173,115,499039704,2022-12-20,SOH DOE Waimea High School
JMQVIA0272119134170,115,499039704,2022-12-20,SOH DOE Waimea High School
AZFTZO0272120798734,147,833982450,2019-08-06,SOH DOE Ke Kula 'O 'Ehunuikaimalino
AZFTZO0272120798735,147,833982450,2019-08-06,SOH DOE Ke Kula 'O 'Ehunuikaimalino
SOHBNH0272120843319,138,832668524,2025-10-13,West Hawaii Concrete
ICBGIQ0272119132374,109,730960436,2025-10-02,Kohala Middle School
QJKCFO0272120307334,109,488469586,2025-07-12,SOH DOE Waikoloa Elementary & Middle School
FUGPYL0272120509859,234,425865462,2025-10-09,BEK, Inc.
KZUJWG0272120555180,272,619749793,2025-10-16,Zelinsky Company
MBGTYJ0272120564365,213,811362241,2024-08-22,Modivcare
QQXKNR0272120888711,239,134734110,2020-07-08,GOODFELLOW BROS., INC.
QJKCFO0272120316861,109,488469586,2025-07-12,SOH DOE Waikoloa Elementary & Middle School
UPIJYF0272120566489,129,685461932,2025-10-16,HPM Building Supply Admin
SDCZPM0272119570319,713,34384280,2025-10-07,ALASKA NATIVE MEDICAL CENT
WACWSU0272120777372,138,581489720,2025-10-14,Foundations Hawaii, Inc.
GTFPEH0272120218283,60,774303530,2020-06-10,Foodland 2
MARIVV0272120553234,134,787736132,2025-10-16,Hawaiian Lift Truck Inc
FSOUQG0272120279713,120,789078032,2025-10-01,HPH Human Resources
JEUYCX0272120888171,131,833477875,2021-04-21,Kaiser Permanente - Patient - Travel 6 191082026
JEUYCX0272120888170,131,833477875,2021-04-21,Kaiser Permanente - Patient - Travel 6 191082026
NXYBQI0272120307661,120,764845690,2025-10-14,Unlimited Construction
EKQVZW0272120897271,170,639687506,2025-10-20,HAWAII LIFE FLIGHT
MKHZUM0272120635731,315,648558186,2023-09-16,Blackhawk Security LLC
GKIVQF0272120204331,120,568649141,2020-01-05,Nordic PCL Construction-Execs
YXCDYK0272120216128,124,963774464,2025-10-13,Retina Institute of Hawaii
UQMVUG0272120562656,129,134734110,2025-10-16,GOODFELLOW BROS., INC.
IYEVKU0272119737653,120,704019352,2025-10-08,Kraig K. Otani and Associates LLC
IYEVKU0272119737654,120,704019352,2025-10-08,Kraig K. Otani and Associates LLC
MVTDRD0272120902627,138,581489720,2025-10-20,Foundations Hawaii, Inc.
LNMAOV0272120207995,124,568649141,2025-10-13,Nordic PCL Construction-Execs
GKIVQF0272120204332,120,568649141,2020-01-05,Nordic PCL Construction-Execs
YXCDYK0272120216129,124,963774464,2025-10-13,Retina Institute of Hawaii
LVTUDR0272118886593,53,538661281,2025-09-30,Diagnostic Laboratories General
DVDYQC0272120647993,129,440340876,2019-09-06,HTBYB Direct Bill
GKIVQF0272120204333,120,568649141,2020-01-05,Nordic PCL Construction-Execs
JFVTVA0272120885492,244,581489720,2024-08-09,Foundations Hawaii, Inc.
YRXZBA0272120718663,129,838465272,2025-10-18,Ness Turf Equipment
LPIHVW0272117450946,749,282712835,2024-02-24,AES-EPT FOR SANTOS
IIYOYL0272119906934,541,141393803,2025-07-01,KODIAK AREA NATIVE ASSOCIA
