RecordLocator,Name,Description,BookingDate,Reason
"LHCEEL","Passenger Record 316","Record from 9/19/2025, 6:28:49.240 PM","2025-08-29T00:00:00.0000000Z","Non-AFB Customer"
"GHCSJE","Passenger Record 317","Record from 9/17/2025, 5:49:54.425 PM","2025-09-10T00:00:00.0000000Z","Non-AFB Customer"
"EQXKRH","Passenger Record 318","Record from 9/18/2025, 6:54:36.802 PM","2025-09-03T00:00:00.0000000Z","Non-AFB Customer"
"GAWPNZ","Passenger Record 327","Record from 9/16/2025, 9:12:39.037 PM","2025-08-19T00:00:00.0000000Z","Non-AFB Customer"
"JPBKQG","Passenger Record 328","Record from 9/29/2025, 10:29:31.804 PM","2025-09-05T00:00:00.0000000Z","Non-AFB Customer"
"QLUUFE","Passenger Record 333","Record from 9/29/2025, 10:53:34.354 PM","2025-09-24T00:00:00.0000000Z","Non-AFB Customer"
"IUQOLV","Passenger Record 334","Record from 9/29/2025, 10:54:39.129 PM","2025-09-23T00:00:00.0000000Z","Non-AFB Customer"
"KRSLYT","Passenger Record 335","Record from 9/29/2025, 11:05:04.762 PM","2025-09-24T00:00:00.0000000Z","Non-AFB Customer"
"MVFDHI","Passenger Record 362","Record from 10/1/2025, 5:23:18.637 AM","2025-07-09T12:33:44.0000000Z","Non-AFB Customer"
"IUEAWX","Passenger Record 367","Record from 9/30/2025, 6:04:29.995 AM","2025-08-07T00:00:00.0000000Z","Non-AFB Customer"
"LVMZUQ","Passenger Record 369","Record from 9/30/2025, 6:48:15.634 AM","2025-09-26T00:00:00.0000000Z","Non-AFB Customer"
"OZQHJC","Passenger Record 370","Record from 9/30/2025, 4:23:01.527 AM","2025-09-18T00:00:00.0000000Z","Non-AFB Customer"
"FMUSPH","Passenger Record 375","Record from 9/30/2025, 5:10:01.071 AM","2025-09-18T00:00:00.0000000Z","Non-AFB Customer"
"MBICWI","Passenger Record 378","Record from 9/27/2025, 2:52:50.207 AM","2025-09-24T00:00:00.0000000Z","Non-AFB Customer"
"SHXZFQ","Passenger Record 382","Record from 9/19/2025, 11:16:21.999 PM","2025-07-23T00:00:00.0000000Z","Non-AFB Customer"
"MLDZXS","Passenger Record 383","Record from 9/20/2025, 12:17:55.093 AM","2025-08-30T00:00:00.0000000Z","Non-AFB Customer"
